"Add Account","Agregar cuenta"
"<p>To use M2E TikTok Shop Connect, you need to register on M2E Accounts and generate a License Key.</p><br><p>Your email address used during the initial setup of M2E TikTok Shop Connect automatically registers you on M2E Accounts. After logging in, you can manage your Subscription and Billing information.</p><br><p>License Key is a unique identifier of M2E TikTok Shop Connect instance which is generated automatically and strictly associated with the current IP and Domain of your Magento.</p><br><p>The same License Key cannot be used for different domains, sub-domains or IPs. If your Magento Server changes its location, the new License Key must be obtained and provided to M2E TikTok Shop Connect License section. Click <strong>Save</strong> after the changes are made.</p><br><p><strong>Note:</strong> If you need some assistance to activate your M2E TikTok Shop Connect instance, please contact Support Team at <a href=""mailto:%email"">%email</a>.</p>","<p>Para usar M2E TikTok Shop Connect, necesitas registrarte en M2E Accounts y generar una Clave de Licencia.</p><br><p>Tu dirección de correo electrónico utilizada durante la configuración inicial de M2E TikTok Shop Connect se registra automáticamente en M2E Accounts. Después de iniciar sesión, puedes gestionar tu suscripción e información de facturación.</p><br><p>La Clave de Licencia es un identificador único de la instancia de M2E TikTok Shop Connect que se genera automáticamente y está estrictamente asociada con la IP y el dominio actuales de tu Magento.</p><br><p>La misma Clave de Licencia no puede ser utilizada para diferentes dominios, subdominios o IPs. Si tu servidor Magento cambia de ubicación, se debe obtener una nueva Clave de Licencia y proporcionarla en la sección de Licencia de M2E TikTok Shop Connect. Haz clic en <strong>Guardar</strong> después de realizar los cambios.</p><br><p><strong>Nota:</strong> Si necesitas ayuda para activar tu instancia de M2E TikTok Shop Connect, por favor contacta al equipo de soporte en <a href=""mailto:%email"">%email</a>.</p>"
"General","General"
"License Key","Clave de licencia"
"Associated Email","Email asociado"
"This email address is associated with your License. You can also use it to access <a href=""%url"" target=""_blank"" class=""external-link"">M2E Accounts</a>.","Esta dirección de correo electrónico está asociada con tu licencia. También puedes utilizarla para acceder a <a href=""%url"" target=""_blank"" class=""external-link"">Cuentas M2E</a>."
"Manage License","Gestionar licencia"
"Valid Location","Ubicación válida"
"Your Domain","Su dominio"
"Domain","Dominio"
"Your IP","Su IP"
"IP(s)","IP(s)"
"Additional","Adicional"
"Refresh","Refrescar"
"Use Existing License","Utilizar la licencia existente"
"Change License","Cambiar licencia"
"Internal Server Error","Error interno del servidor"
"New License Key","Nueva clave de licencia"
"First Name","Nombre de pila"
"Last Name","Apellido"
"Phone","Teléfono"
"Country","País"
"City","Ciudad"
"Postal Code","Código postal"
"Set preferences for automatic clearing of Log data, then click <strong>Save</strong>.You may clear the relevant logs manually by clicking <strong>Clear All</strong>.","Establece las preferencias para la eliminación automática de los datos del registro y luego haz clic en <strong>Guardar</strong>. Puedes eliminar los registros relevantes manualmente haciendo clic en <strong>Limpiar todo</strong>."
"M2E TikTok Shop Connect Listings Logs & Events Clearing","M2E TikTok Shop Conectar Listados Registros & Eventos Compensación"
"Enables automatic clearing of Log data. Can help reduce Database size.","Permite borrar automáticamente los datos del registro. Puede ayudar a reducir el tamaño de la base de datos."
"Enabled","Activado"
"Keep For (days)","Mantener por (días)"
"Specify for how long you want to keep Log data before it is automatically cleared.","Especifique durante cuánto tiempo desea conservar los datos de registro antes de que se borren automáticamente."
"Orders Logs & Events Clearing","Registros de pedidos & Borrado de eventos"
"Synchronization Logs & Events Clearing","Registros de sincronización & Borrado de eventos"
"Clear All","Borrar todo"
"Please enter a valid value greater than 14 and less than 90 days.","Por favor, introduzca un valor válido mayor a 14 y menos de 90 días."
"<p>Here you can manage the Module and Automatic Synchronization running,enable Channels you want to sell on. Read the <a href=""%url"" target=""_blank"">article</a> for more details.</p>","<p>Aquí puedes gestionar el funcionamiento del Módulo y la Sincronización Automática, así como habilitar los canales en los que deseas vender. Lee el <a href=""%url"" target=""_blank"">artículo</a> para más detalles.</p>"
"Module","Módulo"
"Automatic Synchronization","Sincronización automática"
"Inventory and Order synchronization stops. The Module interface remains available.","La sincronización de Inventario y Pedidos se detiene. La interfaz del módulo sigue estando disponible."
"Module Interface and Automatic Synchronization","Interfaz de módulos y sincronización automática"
"Inventory and Order synchronization stops. The Module interface becomes unavailable.","La sincronización de inventarios y pedidos se detiene. La interfaz del módulo deja de estar disponible."
"Currency ""%currency_code"" is not allowed in <a href=""%url"" target=""_blank"">Currency Setup</a> for Store View ""%store_path"" of your Magento. Currency conversion will not be performed.","Moneda ""%currency_code"" no está permitida en <a href=""%url"" target=""_blank"">Configuración de Moneda</a> para Vista de Tienda ""%store_path"" de su Magento. No se realizará la conversión de moneda."
"There is no rate for ""%currency_from-%currency_to"" in <a href=""%url"" target=""_blank"">Manage Currency Rates</a> of your Magento. Currency conversion will not be performed.","No hay una tasa para ""%currency_from-%currency_to"" en <a href=""%url"" target=""_blank"">Gestionar Tasas de Moneda</a> de tu Magento. No se realizará la conversión de moneda."
"There is a rate %rate for ""%currency_from-%currency_to"" in <a href=""%url"" target=""_blank"">Manage Currency Rates</a> of your Magento. Currency conversion will be performed automatically.","Hay una tasa del %rate para ""%currency_from-%currency_to"" en <a href=""%url"" target=""_blank"">Gestionar Tasas de Moneda</a> de tu Magento. La conversión de moneda se realizará automáticamente."
"Save And Close","Guardar y Cerrar"
"Save And Continue Edit","Guardar y Continuar a Editar"
"Refresh Account Data","Actualizar datos de la cuenta"
"Save And Back","Guardar y Atrás"
"Default","Predeterminado"
"Unless a specific TTS Carrier is explicitly assigned for a Magento Carrier, the TTS Carrier value selected for the 'Default' Magento carrier will be used.","A menos que se asigne explícitamente un Transportista TTS específico para un Transportista de Magento, se utilizará el valor del Transportista TTS seleccionado para el transportista 'Predeterminado' de Magento."
"Unmanaged Listings","Listados no gestionados"
"Orders","Pedidos"
"Invoices & Shipments","Facturas & Envíos"
"Be attentive! By Deleting Account you delete all information on it from M2E TikTok Shop Connect Server. This will cause inappropriate work of all Accounts' copies.","¡Atención! Al eliminar la cuenta, borra toda la información de la tienda M2E TikTok Connect Server. Esto causará un trabajo inapropiado en todas las copias de las Cuentas."
"No Customer entry is found for specified ID.","No se ha encontrado ninguna entrada de cliente para el ID especificado."
"If Yes is chosen, you must select at least one Attribute for Product Linking.","Si Sí es elegido, debe seleccionar al menos un atributo para el Enlace de Productos."
"You should create at least one Response Template.","Debe crear al menos una Plantilla de Respuesta."
"This Page shows the Environment for your TikTok Shop Account and details of the authorisation for M2E TikTok Shop Connect to connect to your TikTok Shop Account.<br/><br/> If your token has expired or is not activated, click <b>Get Token</b>.<br/><br/>","Esta página muestra el entorno de tu cuenta de TikTok Shop y los detalles de la autorización para que M2E TikTok Shop Connect se conecte a tu cuenta de TikTok Shop.<br/><br/>Si tu token ha expirado o no está activado, haz clic en <b>Obtener Token</b>.<br/><br/>"
"Title or Identifier of TikTok Shop Account for your internal use.","Título o identificador de la cuenta de la TikTok Shop para su uso interno."
"Access Details","Detalles de Acceso"
"Update Access Data","Actualizar datos de acceso"
"<p>Under this tab, you can set M2E TikTok Shop Connect to automatically create invoices and shipments in your Magento. To do that, keep Magento <i>Invoice/Shipment Creation</i> options enabled.</p>","<p>Bajo esta pestaña, puedes configurar M2E TikTok Shop Connect para que cree automáticamente facturas y envíos en tu Magento. Para hacerlo, mantén habilitadas las opciones de <i>Creación de Facturas/Envíos</i> de Magento.</p>"
"Invoices","Facturas"
"Magento Invoice Creation","Creación de factura de Magento"
"Disabled","Deshabilitado"
"Enable to automatically create Magento Invoices when payment is completed.","Habilite la creación automática de facturas de Magento cuando se complete el pago."
"Shipments","Envíos"
"Magento Shipment Creation","Creación de envío de Magento"
"Enable to automatically create shipment for the Magento order when the associated order on Channel is shipped.","Permite crear automáticamente el envío para el pedido de Magento cuando se envía el pedido asociado en Channel."
"Shipment Carrier Mapping","Asignación de transportistas"
"<p>Specify how M2E TikTok Shop Connect should manage the Orders imported from TikTok Shop.</p><br/><p>You are able to configure the different rules of <strong>Magento Order Creation</strong> considering whether the Item was listed via M2E TikTok Shop Connect or by some other software.</p><br/> <p>Once TikTok Shop Order is imported, the <strong>Reserve Quantity</strong> feature will hold the Stock if Magento Order could not be created immediately in accordance with provided settings.</p><br/><p>Besides, you can configure the <strong>Tax, Order Number</strong> and <strong>Order Status Mapping</strong> Settings for your Magento Orders as well as specify the automatic creation of invoices and shipment notifications.</p>","<p>Especifica cómo M2E TikTok Shop Connect debe gestionar los Pedidos importados de TikTok Shop.</p><br/><p>Puedes configurar diferentes reglas para la <strong>Creación de Pedidos de Magento</strong> considerando si el Artículo fue listado a través de M2E TikTok Shop Connect o por algún otro software.</p><br/><p>Una vez que se importe un Pedido de TikTok Shop, la función de <strong>Cantidad Reservada</strong> mantendrá el Stock si el Pedido de Magento no pudo ser creado de inmediato de acuerdo con las configuraciones proporcionadas.</p><br/><p>Además, puedes configurar los ajustes de <strong>Impuesto, Número de Pedido</strong> y <strong>Mapeo de Estado de Pedido</strong> para tus Pedidos de Magento, así como especificar la creación automática de facturas y notificaciones de envío.</p>"
"Product Is Listed By M2E TikTok Shop Connect","El producto está listado por M2E TikTok Shop Connect"
"Create Order in Magento","Crear pedido en Magento"
"Choose whether a Magento Order should be created if an TikTok Shop Order is received for an TikTok Shop Item Listed using M2E TikTok Shop Connect.","Elija si se debe crear un pedido de Magento si se recibe un pedido de tienda TikTok para un artículo de tienda TikTok listado mediante M2E TikTok Shop Connect."
"Magento Store View Source","Magento Store Ver fuente"
"Use Store View from Listing","Utilizar la vista de tienda desde el listado"
"Choose Store View Manually","Seleccione Vista de tienda manualmente"
"Choose to specify the Magento Store View here or to keep the Magento Store View used in the M2E TikTok Shop Connect Listing.","Elija especificar la vista de tienda Magento aquí o mantener la vista de tienda Magento utilizada en el listado de M2E TikTok Shop Connect."
"Magento Store View","Vista del negozio Magento"
"The Magento Store View that Orders will be placed in.","La vista de la tienda de Magento en la que se realizarán los pedidos."
"Product Is Listed By Any Other Software","El producto está listado por cualquier otro software"
"Choose whether a Magento Order should be created if an TikTok Shop Order is received
for an item that does <b>not</b> belong to the M2E TikTok Shop Connect Listing.","Elige si se debe crear un Pedido de Magento si se recibe un Pedido de TikTok Shop para un artículo que <b>no</b> pertenece al Listado de M2E TikTok Shop Connect."
"Choose what should happen if an Order is received for a Product that does not exist in your Magento Inventory.","Elija qué debe ocurrir si se recibe un Pedido de un Producto que no existe en su Inventario de Magento."
"Product Not Found","Producto no encontrado"
"Do Not Create Order","No crear pedido"
"Create Product and Order","Crear producto y pedido"
"<br/><b>Note:</b> M2E TikTok Shop Connect will create only Simple Magento Products. For Channel variational items it will create a Simple Product for each variation. Please note that the Create Product and Order option is not meant for the creation of full-fledged products in your Magento catalog.","<br/><b>Nota:</b> M2E TikTok Shop Connect solo creará Productos Simples de Magento. Para artículos de variaciones de canal, se creará un Producto Simple para cada variación. Ten en cuenta que la opción de Crear Producto y Pedido no está destinada a la creación de productos completos en tu catálogo de Magento."
"Please note that a new Magento Product will be created if the corresponding SKU is not found in your Catalog.","Tenga en cuenta que se creará un nuevo Producto Magento si el SKU correspondiente no se encuentra en su Catálogo."
"Product Tax Class","Clase de impuesto del producto"
"Tax Class which will be used for Products created by M2E TikTok Shop Connect.","Clase de impuesto que se utilizará para los productos creados por M2E TikTok Shop Connect."
"Magento Order Number","Número de pedido de Magento"
"Source","Fuente"
"If source is set to Magento, Magento Order numbers are created basing on your Magento Settings. If source is set to TikTok Shop, Magento Order numbers are the same as TikTok Shop Order numbers.","Si la fuente es Magento, los números de pedido Magento se crean basándose en la configuración de Magento. Si el origen es TikTok Shop, los números de pedido de Magento son los mismos que los de TikTok Shop."
"General Prefix","Prefijo general"
"e.g.","p. ej."
"Shipping information","Información de envío"
"Import Ship by date to Magento order","Importar envío por fecha a pedido de Magento"
"Override invalid Region/State required value","Anular el valor requerido de Región/Estado no válido"
"When enabled, the invalid Region/State value will be replaced with an alternative one to create an order in Magento.","Cuando se activa, el valor Región/Estado no válido se sustituirá por uno alternativo para crear un pedido en Magento."
"Customer Settings","Ajustes sobre clientes"
"Customer","Cliente"
"Guest Account","Conta de Convidado"
"Predefined Customer","Cliente predefinido"
"Create New","Crear Nuevo"
"<b>Guest Account:</b> Magento Guest Checkout Option must be enabled to use this Option. Use the default Guest Account. Do not create a Customer Account.<br/><br/><b>Predefined Customer:</b> Use a specific Customer for all Orders. You should specify the Magento Customer ID to use.<br/><br/><b>Create New:</b> Create a new Customer in Magento for the Order. If an existing Magento Customer has the same email address as the email address used for the TikTok Shop Order, the Order will be assigned to that Customer instead.","<b>Cuenta de Invitado:</b> La opción de pago de invitado de Magento debe estar habilitada para usar esta opción. Utiliza la cuenta de invitado predeterminada. No crees una cuenta de cliente.<br/><br/><b>Cliente Predefinido:</b> Utiliza un cliente específico para todos los pedidos. Debes especificar el ID del cliente de Magento a utilizar.<br/><br/><b>Crear Nuevo:</b> Crea un nuevo cliente en Magento para el pedido. Si un cliente existente de Magento tiene la misma dirección de correo electrónico que la dirección de correo electrónico utilizada para el pedido de TikTok Shop, el pedido se asignará a ese cliente en su lugar."
"Customer ID","ID de cliente"
"Associate to Website","Asociar a sitio web"
"Customer Group","Grupo de clientes"
"Send Emails When The Following Is Created","Enviar correos electrónicos cuando se crea"
"Magento Order","Pedido Magento"
"Invoice","Factura"
"<p>Necessary emails will be sent according to Magento Settings in Stores > Configuration > Sales > Sales Emails.</p><p>Hold Ctrl Button to choose more than one Option.</p>","<p>Los correos electrónicos necesarios se enviarán de acuerdo con la configuración de Magento en Tiendas > Configuración > Ventas > Correos Electrónicos de Ventas.</p><p>Mantén presionada la tecla Ctrl para seleccionar más de una opción.</p>"
"Billing Address Usage","Uso de la dirección de facturación"
"Always","Siempre"
"Buyer & Recipient have the same name","Comprador y Destinatario tienen el mismo nombre"
"When to use shipping address as billing.","Cuándo utilizar la dirección de envío como de facturación."
"Choose if you want to use your customer’s shipping address as the billing one regularly or only if the buyer and recipient have the same names.","Elija si desea utilizar la dirección de envío de su cliente como la de facturación regularmente o sólo si el comprador y el destinatario tienen los mismos nombres."
"Order Creation Rules","Normas de creación de pedidos"
"Please note that Immediate Magento order creation sets certain limits to the update of the later order changes. If the shipping or tax details are modified after checkout is completed, these changes will not be reflected in Magento order.","Tenga en cuenta que la creación inmediata del pedido Magento establece ciertos límites a la actualización de los cambios posteriores del pedido. Si los detalles de envío o impuestos se modifican después de completar el pago, estos cambios no se reflejarán en el pedido de Magento."
"For %number day","Para %número día"
"For %number days","Para %número de días"
"Reserve Quantity","Cantidad de reserva"
"Choose for how long M2E TikTok Shop Connect should reserve Magento Product quantity per TikTok Shop Order until Magento Order is created.","Elija durante cuánto tiempo M2E TikTok Shop Connect debe reservar la cantidad de Productos Magento por Pedido TikTok Shop hasta que se cree el Pedido Magento."
"Refund & Cancellation","Reembolso & Cancelación"
"Cancel/Refund TTS Orders","Cancelar/Reembolsar pedidos TTS"
"Enable to cancel TTS orders and automatically update their statuses on the Channel.","Permite anular pedidos TTS y actualizar automáticamente su estado en el Canal."
"Default Cancel Reason","Motivo de cancelación por defecto"
"Unable to Deliver to Buyer Address","No se puede entregar en la dirección del comprador"
"Pricing Error","Error de tarificación"
"Automatically create Credit Memo when Order is cancelled","Creación automática de abonos cuando se cancela un pedido"
"Order Tax Settings","Configuración de impuestos de pedidos"
"Tax Source","Origen del impuesto"
"TikTok Shop & Magento","TikTok Shop & Magento"
"Choose where the tax settings for your Magento Order will be taken from.","Elija de dónde se tomarán los ajustes de impuestos para su pedido Magento."
"<p>This tab of the Account settings contains main configurations for the Unmanaged Listing management. You can set preferences whether you would like to import Unmanaged Listings (Items that were Listed on TikTok Shop either directly on the channel or with the help of other than M2E TikTok Shop Connect tool), automatically link them to Magento Product, etc.</p>","<p>Esta pestaña de la configuración de la cuenta contiene las configuraciones principales para la gestión de Listados No Gestionados. Puedes establecer preferencias sobre si deseas importar Listados No Gestionados (Artículos que fueron listados en TikTok Shop ya sea directamente en el canal o con la ayuda de otra herramienta que no sea M2E TikTok Shop Connect), enlazarlos automáticamente a Productos de Magento, etc.</p>"
"Import Unmanaged Listings","Importar listados no gestionados"
"Choose whether to import items that have been listed on TikTok Shop either directly or using a tool other than M2E TikTok Shop Connect. M2E TikTok Shop Connect will import only active TikTok Shop items.","Elija si desea importar los artículos que se han enumerado en TikTok Shop, ya sea directamente o utilizando una herramienta que no sea M2E TikTok Shop Connect. M2E TikTok Shop Connect importará solo los artículos activos de TikTok Shop."
"Product Linking","Vinculación de Productos"
"Choose whether imported TikTok Shop Listings should automatically link to a Product in your Magento Inventory.","Elija si los Listados de Tienda TikTok importados deben enlazarse automáticamente a un Producto en su Inventario de Magento."
"Magento Product Linking Settings","Configuración de enlaces de productos Magento"
"<p>In this section you can provide settings for automatic Linking of the newly imported Unmanaged Listings to the appropriate Magento Products.</p><br><p>The imported Items are linked based on the correspondence between TikTok Shop Item values and Magento Product Attribute values. </p>","<p>En esta sección, puedes proporcionar configuraciones para el enlace automático de los nuevos Listados No Gestionados importados a los Productos de Magento apropiados.</p><br><p>Los artículos importados se enlazan según la correspondencia entre los valores del Artículo de TikTok Shop y los valores de Atributo del Producto de Magento.</p>"
"Product SKU","Producto SKU"
"Priority","Prioridad"
"Listing Title","Título del listado"
"TikTok Shop Product ID","ID del producto TikTok Shop"
"Related Store Views","Vistas de tienda relacionadas"
"Choose the Magento Store View that you'd like to use for imported Channel Items.","Elija la vista de tienda Magento que desea utilizar para los artículos de canal importados."
"Seller Name","Nombre del Vendedor"
"<p>On this Page you can find information about TikTok Shop Accounts which can be managed via M2E TikTok Shop Connect.</p><br>
<p>Settings for such configurations as TikTok Shop Orders along with Magento Order creation conditions,
Unmanaged Listings import including options of Linking them to Magento Products and Moving them
to M2E TikTok Shop Connect Listings,
etc. can be specified for each Account separately.</p><br>
<p><strong>Note:</strong> TikTok Shop Account can be deleted only if it is not being used for any of M2E TikTok
Shop Listings.</p>","<p>En esta página, puedes encontrar información sobre las Cuentas de TikTok Shop que se pueden gestionar a través de M2E TikTok Shop Connect.</p><br>
<p>Se pueden especificar configuraciones para aspectos como Pedidos de TikTok Shop, junto con las condiciones para la creación de Pedidos de Magento, la importación de Listados No Gestionados, incluidas las opciones para enlazarlos a Productos de Magento y moverlos a Listados de M2E TikTok Shop Connect, etc., para cada Cuenta por separado.</p><br>
<p><strong>Nota:</strong> La Cuenta de TikTok Shop solo se puede eliminar si no está siendo utilizada para ninguno de los Listados de M2E TikTok Shop.</p>"
"Category Path / Category ID","Ruta de Categoría / ID de Categoría"
"Step 1","Paso 1"
"General Settings","Configuración general"
"Step 2","Paso 2"
"Policies","Políticas"
"Creating A New Listing","Crear una nueva lista"
"Next Step","Siguiente paso"
"<p>It is necessary to select an TikTok Shop Account (existing or create a new one) as well as choose a Shop that you are going to sell Magento Products on.</p><br><p>It is also important to specify a Store View in accordance with which Magento Attribute values will be used in the Listing settings.</p>","<p>Es necesario seleccionar una Cuenta de TikTok Shop (existente o crear una nueva) así como elegir una Tienda en la que planeas vender Productos de Magento.</p><br><p>También es importante especificar una Vista de Tienda de acuerdo con la cual se utilizarán los valores de Atributo de Magento en las configuraciones del Listado.</p>"
"Create a descriptive and meaningful Title for your M2E TikTok Shop Connect Listing. <br/> This is used for reference within M2E TikTok Shop Connect and will not appear on your TikTok Shop Listings.","Crea un título descriptivo y significativo para tu Listado de M2E TikTok Shop Connect. <br/> Este título se utilizará como referencia dentro de M2E TikTok Shop Connect y no aparecerá en tus Listados de TikTok Shop."
"TikTok Shop Settings","Ajustes de la TikTok Shop"
"Add Another","Agregar Otra"
"Choose the Shop you want to list on using this M2E TikTok Shop Connect Listing. Currency will be set automatically based on the Shop you choose.","Elija la tienda en la que desea publicar su anuncio utilizando este M2E TikTok Shop Connect Listado. La moneda se establecerá automáticamente en función de la tienda que elijas."
"Magento Settings","Configuraciones de Magento"
"Choose the Magento Store View you want to use for this M2E TikTok Shop Connect Listing. Please remember that Attribute values from the selected Store View will be used in the Listing.","Elija la vista de tienda Magento que desea utilizar para este anuncio de M2E TikTok Shop Connect. Recuerde que los valores de los atributos de la vista de tienda seleccionada se utilizarán en el listado."
"The specified Title is already used for other Listing. Listing Title must be unique.","El título especificado ya se utiliza para otro listado. El título del anuncio debe ser único."
"Account not found, please create it.","Cuenta no encontrada, por favor créela."
"Please wait while Synchronization is finished.","Espere a que finalice la sincronización."
"Previous Step","Paso anterior"
"<p>In this Section, you set the shipping methods you offer, and whether you accept returns. For that, select <b>Shipping</b>, and <b>Return</b> Policies for the Listing.</p><p>Also, you can choose the right listing format, provide a competitive price for your Items, set the detailed description for products to attract more buyers. For that, select <b>Selling</b> and <b>Description</b> Policies for the Listing.</p><p>You can set the preferences on how to synchronize your Items with Magento Catalog data. The rules can be defined in <b>Synchronization</b> policy.</p><p>More details in <a href=""%url"" target=""_blank"">our documentation</a>.</p>","<p>En esta sección, configuras los métodos de envío que ofreces y si aceptas devoluciones. Para ello, selecciona las políticas de <b>Envío</b> y <b>Devolución</b> para el Listado.</p><p>Además, puedes elegir el formato adecuado del listado, proporcionar un precio competitivo para tus artículos y establecer una descripción detallada para los productos con el fin de atraer a más compradores. Para ello, selecciona las políticas de <b>Venta</b> y <b>Descripción</b> para el Listado.</p><p>Puedes establecer las preferencias sobre cómo sincronizar tus artículos con los datos del Catálogo de Magento. Las reglas se pueden definir en la política de <b>Sincronización</b>.</p><p>Más detalles en <a href=""%url"" target=""_blank"">nuestra documentación</a>.</p>"
"Selling","Vender"
"No Policies available.","No hay políticas disponibles."
"View","Ver"
"or","o"
"Add New","Añadir Nuevo"
"Selling Policy","Política de venta"
"Description Policy","Descripción Política"
"Synchronization","Sincronización"
"Synchronization Policy","Política de sincronización"
"Error Code","Código de error"
"Issue","Asuntos"
"Affected Items","Artículos afectados"
"Impact Rate","Índice de impacto"
"Add Listing","Añadir listado"
"Manage","Gestione"
"Add From Products List","Añadir desde la lista de productos"
"Add From Categories","Añadir desde categorías"
"Configuration","Configuración"
"Logs & Events","Logs & Eventos"
"Clear Log","Borrar registro"
"Delete Listing","Borrar anuncio"
"Admin (Default Values)","Admin (Valores por defecto)"
"Region","Región"
"Edit Listing Title","Editar título del anuncio"
"Edit Listing Store View","Editar listado Vista de la tienda"
"No recently used Categories","Categorías no utilizadas recientemente"
"Change Category","Cambiar de Categoría"
"Category","Categoría"
"No results","Sin resultados"
"No saved Categories","No hay categorías guardadas"
"<p>You may edit Policies assigned to your Listing or create new ones. The changes you make are automatically applied to all M2E TikTok Shop Connect Listings that use this Policy.</p><p>Find more details on configuring Policies in the <a href=""%url"" target=""_blank"">documentation</a>.</p>","<p>Puedes editar las Políticas asignadas a tu Listado o crear nuevas. Los cambios que realices se aplican automáticamente a todos los Listados de M2E TikTok Shop Connect que utilizan esta Política.</p><p>Encuentra más detalles sobre la configuración de Políticas en la <a href=""%url"" target=""_blank"">documentación</a>.</p>"
"Please, specify a value suitable for all chosen Products.","Por favor, especifique un valor adecuado para todos los Productos elegidos."
"Items By Listing","Artículos por anuncio"
"Items By Issue","Artículos por problema"
"Unmanaged Items","Artículos no gestionados"
"All Items","Todos los artículos"
"<p>Saving Policy under a distinctive title will let you easily and quickly search for it in case you need to use it in a different M2E TikTok Shop Connect Listing in the future.</p><br> <p>More detailed information you can find <a href=""%url"" target=""_blank"" class=""external-link"">here</a>.</p>","<p>Guardar la Política bajo un título distintivo te permitirá buscarla fácil y rápidamente en caso de que necesites utilizarla en otro Listado de M2E TikTok Shop Connect en el futuro.</p><br> <p>Más información detallada la puedes encontrar <a href=""%url"" target=""_blank"" class=""external-link"">aquí</a>.</p>"
"Please specify Policy Title","Por favor especifique el título de la política"
"Save as New Policy","Guardar como Nueva Política"
"Customized","Personalizado"
"Policy with the same Title already exists.","Ya existe una política con el mismo título."
"Save New Policy","Guardar nueva política"
"Products Import Is in Progress","Importación de productos en curso"
"Some Items were not linked. Please edit <i>Product Linking Settings</i> under <i>Configuration > Account > Unmanaged Listings</i> or try to link manually.","Algunos artículos no fueron vinculados. Por favor, edita la <i>Configuración de Vinculación de Productos</i> en <i>Configuración > Cuenta > Listados No Administrados</i> o intenta vincular manualmente."
"Link Item ""%product_title%"" with Magento Product","Vincular el artículo ""%product_title%"" con el producto de Magento"
"Product does not exist.","El producto no existe."
"Product(s) was Linked.","Producto(s) fue vinculado(s)."
"Add New Listing","Añadir nuevo anuncio"
"Product was Linked.","Producto vinculado."
"Linking Product","Producto de enlace"
"Current TikTokShop version only supports Simple Products in Linking. Please, choose Simple Product.","La versión actual de TikTokShop sólo soporta Productos Simples en Vinculación. Por favor, elija Simple Product."
"Link Item(s) to Products","Enlazar artículo(s) a productos"
"Processing %product_title% Product(s).","Procesando %product_title% Producto(s)."
"Moving TikTokShop Items","Moviendo artículos TikTokShop"
"Not enough data.","No hay suficientes datos."
"Product(s) was Unlinked.","Producto(s) fue desvinculado."
"Product(s) was Removed.","Producto(s) fue eliminado."
"Task completed. Please wait ...","Tarea completada. Por favor espere..."
"Sending %product_title% Product(s) data on TikTokShop.","Enviando %product_title% Datos de producto(s) en TikTokShop."
"The Listing was locked by another process. Please try again later.","El listado ha sido bloqueado por otro proceso. Vuelva a intentarlo más tarde."
"Listing is empty.","La lista está vacía."
"Confirm the Unmanaged Listings reset","Confirme el restablecimiento de los listados no gestionados"
"This action will remove all the items from TikTokShop Unmanaged Listings. It will take some time to import them again.","Esta acción eliminará todos los artículos de los listados no gestionados de TikTokShop. Tomará algún tiempo para importarlos de nuevo."
"Do you want to reset the Unmanaged Listings?","¿Desea restablecer los Listados no gestionados?"
"CSV","CSV"
"Product Title / Product SKU / TikTokShop Category","Título del Producto / SKU del Producto / Categoría TikTokShop"
"TTS Product ID","ID Producto TTS"
"SKU ID","SKU ID"
"Available QTY","QTY disponible"
"Linking","Enlazando"
"Link Item(s) Automatically","Enlazar artículo(s) automáticamente"
"Move Item(s) to Listing","Mover artículo(s) a la lista"
"Remove Item(s)","Eliminar artículo(s)"
"Unlink Item(s)","Desvincular artículo(s)"
"Link","Vincular"
"Move","Mover"
"<p>In this Section, you can find all Item Variations and information about them, i.e. price, QTY, status.</p><p>You can use filters across column headers to search and sort the variants.</p>","<p>En esta sección, puedes encontrar todas las Variaciones de Artículos e información sobre ellas, es decir, precio, cantidad (QTY) y estado.</p><p>Puedes usar filtros en los encabezados de las columnas para buscar y ordenar las variaciones.</p>"
"Variation","Variación"
"Compatibility Attribute","Atributo de compatibilidad"
"Sell on Another Shop","Vender en otra tienda"
"Create new","Crear nuevo"
"TikTok Category","Categoría de TikTok"
"Listing Policies Overrides","Lista de políticas generales"
"Edit Category Settings","Editar Configuración de Categoría"
"Categories & Specifics","Categorías & Especificaciones"
"Move Item(s) to Another Listing","Mover artículo(s) a otra lista"
"Use from Listing Settings","Usar desde la configuración de la lista"
"Custom Settings","Ajustes personalizados"
"Categories & Attributes","Categorías & Atributos"
"""%task_title%"" Task has completed with warnings. <a target=""_blank"" href=""%url%"">View Log</a> for details.","La tarea ""%task_title%"" se ha completado con advertencias. <a target=""_blank"" href=""%url%"">Consulta el registro</a> para más detalles."
"""%task_title%"" Task has completed with errors.  <a target=""_blank"" href=""%url%"">View Log</a> for details.","La tarea ""%task_title%"" se ha completado con errores. <a target=""_blank"" href=""%url%"">Consulta el registro</a> para más detalles."
"Edit Description Policy Setting","Editar Configuración de Política de Descripción"
"Edit Selling Policy Setting","Editar configuración de política de venta"
"Edit Synchronization Policy Setting","Editar configuración de política de sincronización"
"For","Para"
"""%task_title%"" Task has completed.","La tarea ""%task_title%"" se ha completado."
"Sending %product_title% Product(s) data on TikTok Shop.","Enviando datos del producto %product_title% a TikTok Shop."
"View Full Product Log.","Ver el registro completo del producto."
"Overrides","Anulaciones"
"Listing Actions","Listado de acciones"
"List Item(s) on TikTok Shop","Listar artículo(s) en TikTok"
"Revise Item(s) on TikTok Shop","Revisar artículo(s) en TikTok Shop"
